StockId,MeanTimeBetweenTrades(seconds),MedianTimeBetweenTrades(seconds),MeanTimeBetweenTickChanges(seconds),MedianTimeBetweenTickChanges(seconds),LongestTimeBetweenTrades(seconds),LongestTimeBetweenTickChanges(seconds),MeanBidAskSpread,MedianBidAskSpread,RoundNumberEffect
UPM1V FH Equity,17.386102936760555,0.0,2.4745241119455788,0.0,56110,55349,0.015280456852791863,0.010000000000001563,0.0
VWS DC Equity,11.991413804601533,0.0,1.7552749263752379,0.0,57914,55934,0.2076198285895658,0.19999999999998863,0.05980911099070562
SDRL NO Equity,11.115323301839107,0.0,1.5113975225760143,0.0,60006,59230,0.11236523662589686,0.09999999999999432,0.10186625194401244
HUH1V FH Equity,33.52345107122177,0.0,4.750495114326399,0.0,56308,55347,0.04361674362577796,0.03999999999999915,0.31727651690597497
NES1V FH Equity,21.514120095124852,0.0,3.2591935501981877,0.0,56125,55357,0.03095722577183828,0.029999999999997584,0.0
NDA DC Equity,82.69129060074734,0.0,1.2278283893360715,0.0,57933,55934,0.10301312125241466,0.09999999999999432,0.0
PNDORA DC Equity,14.79008791321783,0.0,2.9466349283854165,0.0,57914,55934,0.7297612880762927,0.5,0.10523339502364795
KNEBV FH Equity,9.259459459459459,0.0,1.63374779774737,0.0,56118,55335,0.032590678039114335,0.020000000000003126,0.26600780400434976
MTGB SS Equity,21.28524156187955,0.0,3.77131571424859,0.0,56124,55359,0.2692766361538374,0.20000000000004547,0.03764705882352941
AMEAS FH Equity,35.70008632383771,0.0,5.476435643564357,0.0,56273,55356,0.03764001570269562,0.030000000000001137,0.0
KINVB SS Equity,17.725413349663196,0.0,2.7344883727496025,0.0,56117,55334,0.23665929799087965,0.19999999999998863,0.09956524401445105
GEN DC Equity,35.41573310353318,0.0,6.310943593542343,0.0,57973,56233,1.0186583740559751,1.0,0.0931806991629739
NDA SS Equity,12.18259479022009,0.0,0.9135307969704496,0.0,56104,55355,0.11860182779845098,0.10000000000000853,0.09215620265948493
